Date,weighted_open,weighted_high,weighted_low,weighted_close
2019-10-02,17.21934888763718,17.406728799446277,16.805047392004976,17.022019758178132
2019-10-01,17.046089117792114,17.495534207265766,16.840918993092064,17.046436315790057
2019-09-30,17.390871342278327,17.44008568610888,16.101567859019042,17.174350061314815
2019-09-29,17.73756683706474,18.151210499461673,17.048151511248328,17.40270524416029
2019-09-28,17.29912965957591,17.811111366210827,17.210514098843486,17.74219037279096
2019-09-27,16.576082813953015,17.2946427885084,16.487493159876255,17.274955999842206
2019-09-26,17.08589749073939,17.302421991436894,16.05247034700448,16.583941087880014
2019-09-25,17.49509410158002,17.740398368464284,16.474635256229927,17.033924866828198
2019-09-24,20.310185712054928,20.64394233359122,17.51251034318658,17.512513631079912
2019-09-23,21.87776071305415,21.887593309772285,20.324124166164175,20.32412417097275
2019-09-22,21.99701423570874,22.026423387510853,21.61471632580097,21.800966554510318
2019-09-21,22.668395229135825,22.82532968692476,21.932969721166412,22.001745415614835
2019-09-20,23.047445309371,23.11626951021264,22.28116598278722,22.72330510680691
2019-09-19,22.712892002859657,23.15669927797692,21.8154238722266,23.146832787474203
2019-09-18,22.03072551707579,22.86895927544036,21.71514487675105,22.730877726568792
2019-09-17,21.652802115004942,22.243867663350393,21.426227956225272,21.958187041343486
2019-09-16,22.440933250191524,22.56899849114074,21.485379614232425,21.652848361220126
2019-09-15,22.868681078138255,22.99682404589873,22.37582317144766,22.523680342213456
2019-09-14,22.859068042876412,23.01678470590924,22.632317085131817,22.859034613047733
2019-09-13,22.954519671399403,23.111635159674673,22.473440114009417,22.768005443635612
2019-09-12,22.231941098777263,23.008380070060774,21.720827689425754,22.99851476034596
2019-09-11,22.52989264376173,22.70644367274237,21.71580314314655,22.18660146663689
2019-09-10,23.750286384826513,23.809153713730204,22.327833053114226,22.484797801058512
2019-09-09,24.461276404805293,24.63803207476829,23.665870131976902,23.754248144182313
2019-09-08,23.89787075497487,24.870296140190955,23.8978703977012,24.487224222982718
2019-09-07,23.568020661667763,24.245928436682323,23.381363904515926,23.941382983853615
2019-09-06,24.37087739387513,24.89381177068791,23.49273955066364,23.670339856571488
2019-09-05,24.504289543925147,24.612758812698434,24.11971805071831,24.356377580670223
2019-09-04,25.24616902827441,25.265892884948627,24.398059590576914,24.506539519847653
2019-09-03,24.54455646607419,25.560663072078835,24.248594565384806,25.244973578719605
2019-09-02,23.65649064225971,24.691885318094744,23.222604150100196,24.54396548554373
2019-09-01,22.51567046689392,23.80481154912128,22.495985937003343,23.607997429343605
2019-08-31,22.637743204312457,22.86451336601812,22.302517065388162,22.549007251138356
2019-08-30,22.34273549203572,22.776573939682258,22.11593715817327,22.618793780498454
2019-08-29,22.667529080046407,22.71654081183395,21.697731709733926,22.197363907984364
2019-08-28,23.80029254396084,24.115265318320308,22.67815392692925,22.796269105285948
2019-08-27,24.257012714003473,24.34461848123179,23.410143804280477,23.546422494376493
2019-08-26,23.86967528760648,24.316921116064634,23.723816929961664,24.248846146603725
2019-08-25,23.975774477627787,24.45179601597962,23.781482254091422,23.86891332638733
2019-08-24,24.41918649575731,24.700868082772608,23.690701812206598,23.94324514701824
2019-08-23,24.1032546605804,25.405593348646963,24.064377864865655,24.443424114109025
2019-08-22,24.160585996709788,25.72594092521536,23.188344059486123,24.11198579124739
2019-08-21,25.722226885976788,25.8098163220233,23.532498441754857,24.184548622875834
2019-08-20,25.836287189973763,26.1380622424202,25.26185817772406,25.7291346794764
2019-08-19,24.939575393518425,25.76228675006376,24.85247463259262,25.704220993731273
2019-08-18,24.671869649586526,25.25650098423769,24.428147887227155,25.110221563599858
2019-08-17,24.67800377174574,25.20172495051761,24.193058671291503,24.552032565428604
2019-08-16,24.641529139371098,24.923427416440045,23.592032403763906,24.719282751529214
2019-08-15,25.14653180344765,25.49635251836296,23.251818623006386,24.64129112870636
2019-08-14,25.604951662561522,25.78993024796738,24.426920483225274,25.19603810227445
2019-08-13,26.619288974602295,26.78475562394698,25.392940994771433,25.58759774303844
2019-08-12,27.07236997493603,27.17946567044383,26.54668779443105,26.614849842420977
2019-08-11,26.44401971191709,27.261560100624674,25.986566111212017,27.057160608834995
2019-08-10,26.2974089113908,27.075480355268393,25.704152012089587,26.42381387451914
2019-08-09,26.767558157511303,26.806425659839494,25.56275953271614,26.27201336519733
2019-08-08,29.31991695127755,29.319919595979066,25.969408765283177,26.746339212155977
2019-08-07,30.17026396261539,31.6303357151703,29.34302835773693,29.36262883858479
2019-08-06,30.456564276455577,32.07189657280901,29.898536428163844,30.36845157157018
2019-08-05,27.817472894983055,31.282365654434113,27.81741336078967,30.43076317320672
2019-08-04,27.447454597584237,27.798587943787822,26.95976835228672,27.691295903606324
2019-08-03,27.664122907326078,28.1224385828176,27.25457974407853,27.439863375049292
2019-08-02,27.158016222662518,27.675128883472997,26.680024480330157,27.675126716281664
2019-08-01,26.254358236054337,27.21189061257016,25.961207812688702,27.19233341148525
2019-07-31,24.583809049366245,26.242986024861324,24.554498447863594,26.242833723694318
2019-07-30,24.904861094301193,25.17747183627083,24.42779841695483,24.53490339803097
2019-07-29,25.157444726096895,25.49832558133088,24.738637727935362,24.91395482255609
2019-07-28,24.99608404017708,25.307800631221536,24.31420438030858,25.15194045011578
2019-07-27,26.021257603148214,27.32626628732203,24.85263221413574,24.99871227080448
2019-07-26,26.342236530492798,26.342245799097928,25.689526608693697,26.030497247817806
2019-07-25,26.689509752640134,27.26440684952924,26.172942000047595,26.367824970660447
2019-07-24,27.217348929115627,27.227069092716658,26.07036438970926,26.643857154566412
2019-07-23,28.075738405156866,28.114673403803703,26.947678804544115,27.22969380705171
2019-07-22,28.837189079399536,28.944235972094486,27.630794615989892,28.068605766044474
2019-07-21,29.01333761414765,29.49039209351844,27.961851966376763,28.886760807487033
2019-07-20,28.091528707253637,29.473884625829104,27.935787863638364,28.977456868077105
2019-07-19,28.48585925214022,28.846807103535166,27.52976010672961,28.15410354691773
2019-07-18,27.188346049730036,28.91259933826506,25.71740928196797,28.445017498057872
2019-07-17,25.599432609910686,28.414526715465858,25.25837543506488,27.177347326805585
2019-07-16,29.246788048147828,29.45079238701256,25.468358105115215,25.46837167207114
2019-07-15,27.415860351808966,29.734603051570808,26.34872025630738,29.29804285394434
2019-07-14,29.966290606888283,30.500873770829287,27.254379385776197,27.62375454818767
2019-07-13,30.48743410348772,30.74914887726185,28.830603334506456,29.886791640711984
2019-07-12,29.320336126965884,31.25820085612342,28.806634299595192,30.48287322951675
2019-07-11,31.42684558597252,31.513889481055486,28.47519709090595,29.00595100526064
2019-07-10,32.39704343555785,34.68497951329124,30.681229506963533,31.582762074716868
2019-07-09,31.437521106804624,32.95992925537413,31.24354866136326,32.37806725489084
2019-07-08,30.64562400017737,31.59458740350315,29.687056588759997,31.410608654924534
2019-07-07,29.216825796659492,31.06704381736413,29.06182074311758,30.689246504732665
2019-07-06,28.694757574561944,30.155140942753444,28.675411506854566,29.236372641047808
2019-07-05,29.549633363389106,29.791692779108278,28.33975818021306,28.736657374470855
2019-07-04,31.00540235713523,31.306531670893445,29.674651689553613,29.69409363131785
2019-07-03,28.401082254909838,31.035331272673645,28.400932638917563,31.034964985475607
2019-07-02,28.515469386187714,28.709056477120765,25.63110182923608,28.27348158605718
2019-07-01,29.49212401925931,30.59520317617155,27.198973813921146,28.495528336199282
2019-06-30,33.95949044611767,34.6183083590504,29.192397583018742,29.570247583314526
2019-06-29,32.75246300325325,34.223969728770044,31.077522280448076,33.95282456178928
2019-06-28,29.954931234533507,32.765523906074606,29.472049585387293,32.66889528081519
2019-06-27,33.719940718088914,35.77666103777361,28.350710783550284,29.905394210411007
2019-06-26,30.836493606064145,36.0733293595212,30.509784431049063,33.53658698819133
2019-06-25,31.227685911953248,31.50609502830599,29.7978015261112,30.805486514067347
2019-06-24,33.0199871725779,33.24033677580589,30.864291206256553,31.2479270825304
2019-06-23,29.627939650627734,33.19930787470193,28.667913403742276,33.093642881626174
2019-06-22,28.571910436524746,29.987931162088902,27.778261855083297,29.50019857580767
2019-06-21,28.31601774472652,28.89453894978935,27.901243155466343,28.807498530174723
2019-06-20,27.239841976058162,28.10135328974304,26.19636095191175,28.101098256689585
2019-06-19,27.545461334553423,27.860379478075032,26.715708532618105,27.144950125815285
2019-06-18,27.882514857157528,28.31275021065088,27.30914908901797,27.58627279135069
2019-06-17,26.75021567868937,28.27823638179362,26.654425051509797,27.88636529789114
2019-06-16,26.441691543634118,28.219030515287404,26.11854501260927,26.60331257125977
2019-06-15,25.490744365559344,26.57456878266032,25.19598960494041,26.460455749400957
2019-06-14,26.684225753321797,26.836505874092847,23.734235818408457,25.43263281505785
2019-06-13,26.9369689994902,27.281328902548488,26.592198085813784,26.898282272992994
2019-06-12,26.528964848398147,27.189660830373995,26.12330341940257,26.576414449707276
2019-06-11,26.179720931237526,26.81466297998249,25.374639698991956,26.634474451918425
2019-06-10,25.445186544043448,26.282290941836322,24.788846025935932,26.28223415180665
2019-06-09,25.250506229930718,26.21103875568502,24.68927581438406,25.488228099182855
2019-06-08,25.58371117772805,26.17302052261299,24.69987903402714,25.232184515777984
2019-06-07,24.396036467509884,25.728585356044764,24.129351210613056,25.623755730180854
