Date	Weighted_Open	Weighted_Close	Weighted_Low	Weighted_High	Date
2018-01-24	83.97937376323927	86.52187252407899	81.65470256356834	89.91654082962188	736718.0
2018-01-25	88.46885572893339	83.29935510798539	82.45774100878351	90.50007258716983	736719.0
2018-01-26	83.81612604329115	82.98058846770518	76.30349385310309	89.36286060335092	736720.0
2018-01-27	83.40169506363802	84.58690694390864	80.67496221016815	87.15791498728092	736721.0
2018-01-28	84.87460410507202	85.60959730520189	83.43396052783824	88.3189248338217	736722.0
2018-01-29	86.10975492382109	91.26302136750506	81.4401059522124	91.26656653054407	736723.0
2018-01-30	90.67328599035059	82.46236682206533	81.83089606196978	95.02173032074468	736724.0
2018-01-31	83.67793328368282	91.05424850480684	82.11039910834181	93.43754960494714	736725.0
2018-02-01	91.29465431611396	77.80872631033684	73.54466955571895	92.43294590492967	736726.0
2018-02-02	76.69554761042185	73.6773485600642	61.436171654310755	78.72375773494969	736727.0
2018-02-03	74.28883713623071	82.6013831081419	68.80611607718552	84.00551884523902	736728.0
2018-02-04	81.56064741314721	67.8685730934111	64.93820995681719	82.99472292764426	736729.0
2018-02-05	67.3218399635086	54.332574359465035	52.27854067927253	68.94318507628505	736730.0
2018-02-06	54.84336757963898	67.56752102093392	44.17109284976376	69.10085733092949	736731.0
2018-02-07	66.37573184636577	63.17810229884852	59.23928820035848	72.61107109875438	736732.0
2018-02-08	62.662263733795186	66.80896641826608	62.6622494172968	72.9262915442951	736733.0
2018-02-09	68.01793029318982	75.35929229626846	65.21517489709524	75.84986661202716	736734.0
2018-02-10	74.17098120919073	70.90120897822072	65.98284377079156	76.99014192721806	736735.0
2018-02-11	70.99976734580743	63.73236499777554	63.621038610827455	70.99985574214853	736736.0
2018-02-12	64.21056892656459	71.8033358103752	64.21051807625193	73.83614329508057	736737.0
2018-02-13	71.9707849965207	67.89253004081705	66.4931841367449	72.25820175035294	736738.0
2018-02-14	67.9454749065394	75.61047249388858	67.4339052700425	75.61058485157227	736739.0
2018-02-15	75.78352903769138	81.56170460457851	75.16837679701197	84.08709069814702	736740.0
2018-02-16	81.48623139116	84.57142184589803	78.20272669962922	84.82498986874504	736741.0
2018-02-17	84.143508045721	89.98586862705686	83.16182951532947	91.6683592158399	736742.0
